"sex","country","age","height","weight","phone","facebook","instagram"
"Male","Iran",35,180,73,150,120,100
"Female","China",23,162,54,458,530,97
"Male","Italy",22,182,72,412,1003,784
"Female","Italy",23,165,48,184,2645,1507
"Female","Italy",23,154,48,200,1545,663
"Male","Malaysia",24,174,55,320,0,472
"Female","Azerbaijan",22,176,90,145,450,494
"Male","Italy",23,171,88.5,192,429,93
"Male","Italy",24,186,76,258,442,349
"Female","China",28,163,58,10,3,53
"Female","Italy",23,169,45,225,1543,644
"Female","Italy",23,165,46,242,629,589
"Female","China",23,172,54,456,100,94
"Male","Serbia",23,195,92,200,600,200
"Male","Italy",24,173,64,191,881,305
"Male","Italy",24,170,53,162,483,352
"Female","Italy",25,173,57,116,610,249
"Female","China",25,164,46,132,50,87
"Male","Italy",25,175,67,138,1877,526
"Female","Italy",23,160,55,341,980,588
"Female","Italy",24,165,60,292,585,300
"Female","Italy",24,153,43,222,275,79
"Female","Italy",23,160,67,165,927,452
"Female","Italy",23,170,75,287,933,411
"Male","Italy",23,176.5,61,344,628,439
"Female","China",22,155,50,562,0,20
"Female","Italy",26,168,58,328,1763,999
"Female","Italy",22,164,50,120,952,309
"Male","Italy",23,179,84,250,1171,442
"Female","China",23,167,67,200,5,27
"Female","China",23,165,100,153,26,0
"Female","Italy",23,178,72,163,918,515
"Male","China",26,180,73,117,773,113
"Male","China",24,161,67,605,0,52
"Female","Italy",23,165,52,129,470,126
"Male","Iran",28,183,60,274,118,254
"Female","China",24,170,60,82,104,189
"Female","China",23,160,50,126,78,127
"Male","Italy",22,180,72,79,811,244
"Female","Italy",23,165,60,144,299,123
"Male","Italy",24,175,63,360,669,351
"Male","Italy",23,170,65,350,3100,1388
"Female","Italy",27,170,80,107,552,190
"Male","Italy",23,178,57,575,1579,1132
"Female","Italy",23,172,50,387,567,336
"Female","Italy",24,160,51,122,293,181
"Female","Taiwan",24,160,47,797,232,427
"Male","Italy",22,175,63.5,220,462,190
"Male","Italy",23,176,70,98,26,0
"Female","China",24,163,49,717,78,104
"Male","Italy",23,172,55,1362,1840,876
"Female","China",23,155,50,101,3,91
"Female","China",27,160,53,430,15,83
