"lat" "long" "depth"
"1" -20.42 181.62 -5.62
"2" -20.62 181.03 -6.5
"3" -26 184.1 -0.42
"4" -17.97 181.66 -6.26
"5" -20.42 181.96 -6.49
"6" -19.68 184.31 -1.95
"7" -11.7 166.1 -0.82
"8" -28.11 181.93 -1.94
"9" -28.74 181.74 -2.11
"10" -17.47 179.59 -6.22
"11" -21.44 180.69 -5.83
"12" -12.26 167 -2.49
"13" -18.54 182.11 -5.54
"14" -21 181.66 -6
"15" -20.7 169.92 -1.39
"16" -15.94 184.95 -3.06
"17" -13.64 165.96 -0.5
"18" -17.83 181.5 -5.9
"19" -23.5 179.78 -5.7
"20" -22.63 180.31 -5.98
"21" -20.84 181.16 -5.76
"22" -10.98 166.32 -2.11
"23" -23.3 180.16 -5.12
"24" -30.2 182 -1.25
"25" -19.66 180.28 -4.31
"26" -17.94 181.49 -5.37
"27" -14.72 167.51 -1.55
"28" -16.46 180.79 -4.98
"29" -20.97 181.47 -5.82
"30" -19.84 182.37 -3.28
"31" -22.58 179.24 -5.53
"32" -16.32 166.74 -0.5
"33" -15.55 185.05 -2.92
"34" -23.55 180.8 -3.49
"35" -16.3 186 -0.48
"36" -25.82 179.33 -6
"37" -18.73 169.23 -2.06
"38" -17.64 181.28 -5.74
"39" -17.66 181.4 -5.85
"40" -18.82 169.33 -2.3
"41" -37.37 176.78 -2.63
"42" -15.31 186.1 -0.96
"43" -24.97 179.82 -5.11
"44" -15.49 186.04 -0.94
"45" -19.23 169.41 -2.46
"46" -30.1 182.3 -0.56
"47" -26.4 181.7 -3.29
"48" -11.77 166.32 -0.7
"49" -24.12 180.08 -4.93
"50" -18.97 185.25 -1.29
"51" -18.75 182.35 -5.54
"52" -19.26 184.42 -2.23
"53" -22.75 173.2 -0.46
"54" -21.37 180.67 -5.93
"55" -20.1 182.16 -4.89
"56" -19.85 182.13 -5.62
"57" -22.7 181 -4.45
"58" -22.06 180.6 -5.84
"59" -17.8 181.35 -5.35
"60" -24.2 179.2 -5.3
"61" -20.69 181.55 -5.82
"62" -21.16 182.4 -2.6
"63" -13.82 172.38 -6.13
"64" -11.49 166.22 -0.84
"65" -20.68 181.41 -5.93
"66" -17.1 184.93 -2.86
"67" -20.14 181.6 -5.87
"68" -21.96 179.62 -6.27
"69" -20.42 181.86 -5.3
"70" -15.46 187.81 -0.4
"71" -15.31 185.8 -1.52
"72" -19.86 184.35 -2.01
"73" -11.55 166.2 -0.96
"74" -23.74 179.99 -5.06
"75" -17.7 181.23 -5.46
"76" -23.54 180.04 -5.64
"77" -19.21 184.7 -1.97
"78" -12.11 167.06 -2.65
"79" -21.81 181.71 -3.23
"80" -28.98 181.11 -3.04
"81" -34.02 180.21 -0.75
"82" -23.84 180.99 -3.67
